feature,group
DeviceInfo,categorical
DeviceType,categorical
M1,categorical
M2,categorical
M3,categorical
M4,categorical
M5,categorical
M6,categorical
M7,categorical
M8,categorical
M9,categorical
P_emaildomain,categorical
ProductCD,categorical
R_emaildomain,categorical
card4,categorical
card6,categorical
id_12,categorical
id_15,categorical
id_16,categorical
id_23,categorical
id_27,categorical
id_28,categorical
id_29,categorical
id_30,categorical
id_31,categorical
id_33,categorical
id_34,categorical
id_35,categorical
id_36,categorical
id_37,categorical
id_38,categorical
C1,numeric
C10,numeric
C11,numeric
C12,numeric
C13,numeric
C14,numeric
C2,numeric
C3,numeric
C4,numeric
C5,numeric
C6,numeric
C7,numeric
C8,numeric
C9,numeric
D1,numeric
D10,numeric
D11,numeric
D12,numeric
D13,numeric
D14,numeric
D15,numeric
D2,numeric
D3,numeric
D4,numeric
D5,numeric
D6,numeric
D7,numeric
D8,numeric
D9,numeric
TransactionAmt,numeric
V1,numeric
V10,numeric
V100,numeric
V101,numeric
V102,numeric
V103,numeric
V104,numeric
V105,numeric
V106,numeric
V107,numeric
V108,numeric
V109,numeric
V11,numeric
V110,numeric
V111,numeric
V112,numeric
V113,numeric
V114,numeric
V115,numeric
V116,numeric
V117,numeric
V118,numeric
V119,numeric
V12,numeric
V120,numeric
V121,numeric
V122,numeric
V123,numeric
V124,numeric
V125,numeric
V126,numeric
V127,numeric
V128,numeric
V129,numeric
V13,numeric
V130,numeric
V131,numeric
V132,numeric
V133,numeric
V134,numeric
V135,numeric
V136,numeric
V137,numeric
V138,numeric
V139,numeric
V14,numeric
V140,numeric
V141,numeric
V142,numeric
V143,numeric
V144,numeric
V145,numeric
V146,numeric
V147,numeric
V148,numeric
V149,numeric
V15,numeric
V150,numeric
V151,numeric
V152,numeric
V153,numeric
V154,numeric
V155,numeric
V156,numeric
V157,numeric
V158,numeric
V159,numeric
V16,numeric
V160,numeric
V161,numeric
V162,numeric
V163,numeric
V164,numeric
V165,numeric
V166,numeric
V167,numeric
V168,numeric
V169,numeric
V17,numeric
V170,numeric
V171,numeric
V172,numeric
V173,numeric
V174,numeric
V175,numeric
V176,numeric
V177,numeric
V178,numeric
V179,numeric
V18,numeric
V180,numeric
V181,numeric
V182,numeric
V183,numeric
V184,numeric
V185,numeric
V186,numeric
V187,numeric
V188,numeric
V189,numeric
V19,numeric
V190,numeric
V191,numeric
V192,numeric
V193,numeric
V194,numeric
V195,numeric
V196,numeric
V197,numeric
V198,numeric
V199,numeric
V2,numeric
V20,numeric
V200,numeric
V201,numeric
V202,numeric
V203,numeric
V204,numeric
V205,numeric
V206,numeric
V207,numeric
V208,numeric
V209,numeric
V21,numeric
V210,numeric
V211,numeric
V212,numeric
V213,numeric
V214,numeric
V215,numeric
V216,numeric
V217,numeric
V218,numeric
V219,numeric
V22,numeric
V220,numeric
V221,numeric
V222,numeric
V223,numeric
V224,numeric
V225,numeric
V226,numeric
V227,numeric
V228,numeric
V229,numeric
V23,numeric
V230,numeric
V231,numeric
V232,numeric
V233,numeric
V234,numeric
V235,numeric
V236,numeric
V237,numeric
V238,numeric
V239,numeric
V24,numeric
V240,numeric
V241,numeric
V242,numeric
V243,numeric
V244,numeric
V245,numeric
V246,numeric
V247,numeric
V248,numeric
V249,numeric
V25,numeric
V250,numeric
V251,numeric
V252,numeric
V253,numeric
V254,numeric
V255,numeric
V256,numeric
V257,numeric
V258,numeric
V259,numeric
V26,numeric
V260,numeric
V261,numeric
V262,numeric
V263,numeric
V264,numeric
V265,numeric
V266,numeric
V267,numeric
V268,numeric
V269,numeric
V27,numeric
V270,numeric
V271,numeric
V272,numeric
V273,numeric
V274,numeric
V275,numeric
V276,numeric
V277,numeric
V278,numeric
V279,numeric
V28,numeric
V280,numeric
V281,numeric
V282,numeric
V283,numeric
V284,numeric
V285,numeric
V286,numeric
V287,numeric
V288,numeric
V289,numeric
V29,numeric
V290,numeric
V291,numeric
V292,numeric
V293,numeric
V294,numeric
V295,numeric
V296,numeric
V297,numeric
V298,numeric
V299,numeric
V3,numeric
V30,numeric
V300,numeric
V301,numeric
V302,numeric
V303,numeric
V304,numeric
V305,numeric
V306,numeric
V307,numeric
V308,numeric
V309,numeric
V31,numeric
V310,numeric
V311,numeric
V312,numeric
V313,numeric
V314,numeric
V315,numeric
V316,numeric
V317,numeric
V318,numeric
V319,numeric
V32,numeric
V320,numeric
V321,numeric
V322,numeric
V323,numeric
V324,numeric
V325,numeric
V326,numeric
V327,numeric
V328,numeric
V329,numeric
V33,numeric
V330,numeric
V331,numeric
V332,numeric
V333,numeric
V334,numeric
V335,numeric
V336,numeric
V337,numeric
V338,numeric
V339,numeric
V34,numeric
V35,numeric
V36,numeric
V37,numeric
V38,numeric
V39,numeric
V4,numeric
V40,numeric
V41,numeric
V42,numeric
V43,numeric
V44,numeric
V45,numeric
V46,numeric
V47,numeric
V48,numeric
V49,numeric
V5,numeric
V50,numeric
V51,numeric
V52,numeric
V53,numeric
V54,numeric
V55,numeric
V56,numeric
V57,numeric
V58,numeric
V59,numeric
V6,numeric
V60,numeric
V61,numeric
V62,numeric
V63,numeric
V64,numeric
V65,numeric
V66,numeric
V67,numeric
V68,numeric
V69,numeric
V7,numeric
V70,numeric
V71,numeric
V72,numeric
V73,numeric
V74,numeric
V75,numeric
V76,numeric
V77,numeric
V78,numeric
V79,numeric
V8,numeric
V80,numeric
V81,numeric
V82,numeric
V83,numeric
V84,numeric
V85,numeric
V86,numeric
V87,numeric
V88,numeric
V89,numeric
V9,numeric
V90,numeric
V91,numeric
V92,numeric
V93,numeric
V94,numeric
V95,numeric
V96,numeric
V97,numeric
V98,numeric
V99,numeric
addr1,numeric
addr2,numeric
card1,numeric
card2,numeric
card3,numeric
card5,numeric
dist1,numeric
dist2,numeric
id_01,numeric
id_02,numeric
id_03,numeric
id_04,numeric
id_05,numeric
id_06,numeric
id_07,numeric
id_08,numeric
id_09,numeric
id_10,numeric
id_11,numeric
id_13,numeric
id_14,numeric
id_17,numeric
id_18,numeric
id_19,numeric
id_20,numeric
id_21,numeric
id_22,numeric
id_24,numeric
id_25,numeric
id_26,numeric
id_32,numeric
isFraud,numeric
TransactionDT,numeric_high_cardinality
TransactionID,numeric_high_cardinality
