feature,memory_bytes,memory_mb
Index,132,0.000126
TransactionID,4724320,4.505463
isFraud,4724320,4.505463
TransactionDT,4724320,4.505463
TransactionAmt,4724320,4.505463
ProductCD,5314860,5.068645
card1,4724320,4.505463
card2,4724320,4.505463
card3,4724320,4.505463
card4,8415832,8.025963
card5,4724320,4.505463
card6,7892359,7.52674
addr1,4724320,4.505463
addr2,4724320,4.505463
dist1,4724320,4.505463
dist2,4724320,4.505463
P_emaildomain,9498473,9.05845
R_emaildomain,6182377,5.895974
C1,4724320,4.505463
C2,4724320,4.505463
C3,4724320,4.505463
C4,4724320,4.505463
C5,4724320,4.505463
C6,4724320,4.505463
C7,4724320,4.505463
C8,4724320,4.505463
C9,4724320,4.505463
C10,4724320,4.505463
C11,4724320,4.505463
C12,4724320,4.505463
C13,4724320,4.505463
C14,4724320,4.505463
D1,4724320,4.505463
D2,4724320,4.505463
D3,4724320,4.505463
D4,4724320,4.505463
D5,4724320,4.505463
D6,4724320,4.505463
D7,4724320,4.505463
D8,4724320,4.505463
D9,4724320,4.505463
D10,4724320,4.505463
D11,4724320,4.505463
D12,4724320,4.505463
D13,4724320,4.505463
D14,4724320,4.505463
D15,4724320,4.505463
M1,5117578,4.880503
M2,5117578,4.880503
M3,5117578,4.880503
M4,5416330,5.165415
M5,5038196,4.804798
M6,5219318,4.97753
M7,5042413,4.80882
M8,5042426,4.808832
M9,5042426,4.808832
V1,4724320,4.505463
V2,4724320,4.505463
V3,4724320,4.505463
V4,4724320,4.505463
V5,4724320,4.505463
V6,4724320,4.505463
V7,4724320,4.505463
V8,4724320,4.505463
V9,4724320,4.505463
V10,4724320,4.505463
V11,4724320,4.505463
V12,4724320,4.505463
V13,4724320,4.505463
V14,4724320,4.505463
V15,4724320,4.505463
V16,4724320,4.505463
V17,4724320,4.505463
V18,4724320,4.505463
V19,4724320,4.505463
V20,4724320,4.505463
V21,4724320,4.505463
V22,4724320,4.505463
V23,4724320,4.505463
V24,4724320,4.505463
V25,4724320,4.505463
V26,4724320,4.505463
V27,4724320,4.505463
V28,4724320,4.505463
V29,4724320,4.505463
V30,4724320,4.505463
V31,4724320,4.505463
V32,4724320,4.505463
V33,4724320,4.505463
V34,4724320,4.505463
V35,4724320,4.505463
V36,4724320,4.505463
V37,4724320,4.505463
V38,4724320,4.505463
V39,4724320,4.505463
V40,4724320,4.505463
V41,4724320,4.505463
V42,4724320,4.505463
V43,4724320,4.505463
V44,4724320,4.505463
V45,4724320,4.505463
V46,4724320,4.505463
V47,4724320,4.505463
V48,4724320,4.505463
V49,4724320,4.505463
V50,4724320,4.505463
V51,4724320,4.505463
V52,4724320,4.505463
V53,4724320,4.505463
V54,4724320,4.505463
V55,4724320,4.505463
V56,4724320,4.505463
V57,4724320,4.505463
V58,4724320,4.505463
V59,4724320,4.505463
V60,4724320,4.505463
V61,4724320,4.505463
V62,4724320,4.505463
V63,4724320,4.505463
V64,4724320,4.505463
V65,4724320,4.505463
V66,4724320,4.505463
V67,4724320,4.505463
V68,4724320,4.505463
V69,4724320,4.505463
V70,4724320,4.505463
V71,4724320,4.505463
V72,4724320,4.505463
V73,4724320,4.505463
V74,4724320,4.505463
V75,4724320,4.505463
