feature,missing_count,missing_pct
id_24,585793,99.1962
id_25,585408,99.131
id_07,585385,99.1271
id_08,585385,99.1271
id_21,585381,99.1264
id_26,585377,99.1257
id_22,585371,99.1247
id_23,585371,99.1247
id_27,585371,99.1247
dist2,552913,93.6284
D7,551623,93.4099
id_18,545427,92.3607
D13,528588,89.5093
D14,528353,89.4695
D12,525823,89.041
id_03,524216,88.7689
id_04,524216,88.7689
D6,517353,87.6068
id_33,517251,87.5895
D8,515614,87.3123
D9,515614,87.3123
id_09,515614,87.3123
id_10,515614,87.3123
id_30,512975,86.8654
id_32,512954,86.8619
id_34,512735,86.8248
id_14,510496,86.4456
V138,508595,86.1237
V139,508595,86.1237
V140,508595,86.1237
V141,508595,86.1237
V142,508595,86.1237
V146,508595,86.1237
V147,508595,86.1237
V148,508595,86.1237
V149,508595,86.1237
V153,508595,86.1237
V154,508595,86.1237
V155,508595,86.1237
V156,508595,86.1237
V157,508595,86.1237
V158,508595,86.1237
V161,508595,86.1237
V162,508595,86.1237
V163,508595,86.1237
V143,508589,86.1227
V144,508589,86.1227
V145,508589,86.1227
V150,508589,86.1227
V151,508589,86.1227
V152,508589,86.1227
V159,508589,86.1227
V160,508589,86.1227
V164,508589,86.1227
V165,508589,86.1227
V166,508589,86.1227
V322,508189,86.055
V323,508189,86.055
V324,508189,86.055
V325,508189,86.055
V326,508189,86.055
V327,508189,86.055
V328,508189,86.055
V329,508189,86.055
V330,508189,86.055
V331,508189,86.055
V332,508189,86.055
V333,508189,86.055
V334,508189,86.055
V335,508189,86.055
V336,508189,86.055
V337,508189,86.055
V338,508189,86.055
V339,508189,86.055
DeviceInfo,471874,79.9055
id_13,463220,78.4401
id_16,461200,78.098
V217,460110,77.9134
V218,460110,77.9134
V219,460110,77.9134
V223,460110,77.9134
V224,460110,77.9134
V225,460110,77.9134
V226,460110,77.9134
V228,460110,77.9134
V229,460110,77.9134
V230,460110,77.9134
V231,460110,77.9134
V232,460110,77.9134
V233,460110,77.9134
V235,460110,77.9134
V236,460110,77.9134
V237,460110,77.9134
V240,460110,77.9134
V241,460110,77.9134
V242,460110,77.9134
V243,460110,77.9134
V244,460110,77.9134
V246,460110,77.9134
V247,460110,77.9134
V248,460110,77.9134
V249,460110,77.9134
V252,460110,77.9134
V253,460110,77.9134
V254,460110,77.9134
V257,460110,77.9134
V258,460110,77.9134
V260,460110,77.9134
V261,460110,77.9134
V262,460110,77.9134
