feature,unique_count,unique_pct
TransactionID,590540,100.0
TransactionDT,573349,97.0889
id_02,115655,19.5846
V307,37367,6.3276
V127,24414,4.1342
V308,23064,3.9056
TransactionAmt,20902,3.5395
V310,19136,3.2404
V306,16210,2.7449
V317,15184,2.5712
V203,14951,2.5318
V128,14507,2.4566
card1,13553,2.295
V264,13358,2.262
V204,12858,2.1773
D8,12353,2.0918
V130,12332,2.0883
V318,12309,2.0844
V265,11757,1.9909
V314,11377,1.9265
V202,10970,1.8576
V263,10422,1.7648
V126,10299,1.744
V133,9949,1.6847
V316,9814,1.6619
V160,9621,1.6292
V212,8868,1.5017
V213,8317,1.4084
V274,8315,1.408
V134,8178,1.3848
V312,8068,1.3662
V275,7776,1.3168
V211,7624,1.291
V273,7177,1.2153
V315,6973,1.1808
V159,6663,1.1283
V132,6560,1.1108
V320,6439,1.0904
V321,5560,0.9415
V313,5529,0.9363
V136,4852,0.8216
V319,4799,0.8126
V131,4444,0.7525
V137,4252,0.72
V309,4236,0.7173
V135,3724,0.6306
V267,3616,0.6123
V209,3451,0.5844
V207,3246,0.5497
V311,3098,0.5246
V210,2836,0.4802
V271,2787,0.4719
V268,2756,0.4667
V215,2747,0.4652
dist1,2651,0.4489
V208,2552,0.4321
V165,2547,0.4313
V277,2540,0.4301
V216,2532,0.4288
V272,2507,0.4245
V332,2453,0.4154
V278,2398,0.4061
V270,2340,0.3962
V214,2282,0.3864
V276,2263,0.3832
V205,2240,0.3793
V266,2178,0.3688
V150,1996,0.338
V164,1978,0.3349
V333,1971,0.3338
V129,1968,0.3333
DeviceInfo,1786,0.3024
V206,1780,0.3014
V331,1758,0.2977
dist2,1751,0.2965
C1,1657,0.2806
C13,1597,0.2704
C11,1476,0.2499
V323,1411,0.2389
V96,1410,0.2388
C6,1328,0.2249
V294,1286,0.2178
V102,1285,0.2176
C4,1260,0.2134
C8,1253,0.2122
V178,1236,0.2093
C10,1231,0.2085
C2,1216,0.2059
C12,1199,0.203
C14,1108,0.1876
C7,1103,0.1868
V166,987,0.1671
V324,976,0.1653
V97,976,0.1653
V280,975,0.1651
V168,965,0.1634
V103,928,0.1571
V295,928,0.1571
V179,921,0.156
V279,881,0.1492
V322,881,0.1492
V95,881,0.1492
V167,873,0.1478
V101,870,0.1473
V143,870,0.1473
V293,870,0.1473
V177,862,0.146
D15,859,0.1455
D6,829,0.1404
D10,818,0.1385
D4,808,0.1368
D14,802,0.1358
D5,688,0.1165
D11,676,0.1145
V335,672,0.1138
D3,649,0.1099
D1,641,0.1085
D2,641,0.1085
D12,635,0.1075
D7,597,0.1011
D13,577,0.0977
id_19,522,0.0884
card2,500,0.0847
id_21,490,0.083
